RS6426_MB_v10_BRD_20241106
Net,PE4_PT21_AQC113_1_TXP,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_AQC113_2_TXN,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_PT21_AQC113_2_TXN,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_AQC113_2_TXP,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_PT21_AQC113_2_TXP,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT4_RXN0,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT4_RXP0,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT4_RXN1,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT4_RXP1,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT4_RXN2,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT4_RXP2,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT4_RXN3,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT4_RXP3,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT4_RXN4,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT4_RXP4,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT4_RXN5,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT4_RXP5,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT4_RXN6,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT4_RXP6,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT4_RXN7,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT4_RXP7,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT3_RXN0,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT3_RXP0,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT3_RXN1,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT3_RXP1,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT3_RXN2,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT3_RXP2,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT3_RXN3,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT3_RXP3,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT3_RXN4,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT3_RXP4,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT3_RXN5,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT3_RXP5,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT3_RXN6,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT3_RXP6,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT3_RXN7,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT3_RXP7,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT4_TXP0,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_SLOT4_TXP0,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT4_TXN0,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_SLOT4_TXN0,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT4_TXN1,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
